Planet,mass,radius,density,g,ve,a,Tsurf,Teq,ESIi,ESIs,ESIg
GJ 581g,3.1,1.36,1.22,1.67,1.51,0.15,278,248,0.901,0.877,0.889
701.03,6.935,1.7,1.41,2.4,2.02,0.45,292,262,0.83,0.849,0.84
326.01,0.709,0.9,0.97,0.87,0.89,0.05,362,332,0.977,0.699,0.826
1026.01,8.544,1.8,1.46,2.64,2.18,0.33,272,242,0.812,0.784,0.798
854.01,10.408,1.9,1.52,2.88,2.34,0.22,278,248,0.794,0.795,0.795
1361.01,6.655,2.2,0.62,1.37,1.74,0.24,309,279,0.759,0.811,0.784
268.01,8.544,1.8,1.46,2.64,2.18,0.41,325,295,0.812,0.715,0.762
87.01,8.203,2.4,0.59,1.42,1.85,0.88,312,282,0.733,0.789,0.76
812.03,5.951,2.1,0.64,1.35,1.68,0.21,331,301,0.773,0.738,0.755
1503.01,10.888,2.7,0.55,1.49,2.01,0.54,272,242,0.699,0.8,0.747
GJ 581d,5.6,1.6,1.36,2.18,1.87,0.22,232,202,0.849,0.643,0.739
GJ 581c,5.6,1.6,1.36,2.18,1.87,0.07,380,350,0.849,0.583,0.703
364.01,9.943,2.6,0.57,1.47,1.96,0.62,343,313,0.71,0.676,0.693
536.01,14.026,3,0.52,1.56,2.16,0.59,326,296,0.668,0.713,0.69
555.02,7.405,2.3,0.61,1.4,1.79,0.38,361,331,0.746,0.638,0.69
HD 69830d,18.434,3.36,0.49,1.63,2.34,0.63,312,282,0.636,0.747,0.689
1099.01,23.22,3.7,0.46,1.7,2.51,0.57,274,244,0.61,0.766,0.684
70.03,12.55,2,1.57,3.14,2.51,0.35,363,333,0.778,0.584,0.674
416.02,11.882,2.8,0.54,1.52,2.06,0.38,347,317,0.688,0.657,0.672
314.02,5.559,1.6,1.36,2.17,1.86,0.13,406,376,0.849,0.524,0.667
1472.01,21.74,3.6,0.47,1.68,2.46,0.37,325,295,0.617,0.694,0.655
1429.01,31.492,4.2,0.43,1.79,2.74,0.69,306,276,0.576,0.738,0.652
817.01,5.951,2.1,0.64,1.35,1.68,0.13,400,370,0.773,0.55,0.652
1423.01,33.324,4.3,0.42,1.8,2.78,0.47,304,274,0.57,0.741,0.65
683.01,31.492,4.2,0.43,1.79,2.74,0.84,269,239,0.576,0.729,0.648
711.03,9.943,2.6,0.57,1.47,1.96,0.49,375,345,0.71,0.589,0.647
365.01,7.405,2.3,0.61,1.4,1.79,0.37,393,363,0.746,0.558,0.645
1168.01,26.353,3.9,0.44,1.73,2.6,1.22,321,291,0.596,0.697,0.644
174.01,9.049,2.5,0.58,1.45,1.9,0.27,385,355,0.721,0.569,0.64
465.01,43.411,4.8,0.39,1.88,3.01,1,296,266,0.542,0.755,0.639
1355.01,11.882,2.8,0.54,1.52,2.06,0.27,372,342,0.688,0.589,0.637
1582.01,37.172,4.5,0.41,1.84,2.88,0.63,270,240,0.558,0.724,0.636
952.03,8.203,2.4,0.59,1.42,1.85,0.12,395,365,0.733,0.549,0.635
1596.02,20.317,3.5,0.47,1.66,2.41,0.42,346,316,0.625,0.635,0.63
947.01,10.888,2.7,0.55,1.49,2.01,0.15,383,353,0.699,0.566,0.629
899.03,6.935,1.7,1.41,2.4,2.02,0.09,427,397,0.83,0.474,0.627
494.01,8.544,1.8,1.46,2.64,2.18,0.16,418,388,0.812,0.482,0.625
518.02,10.408,1.9,1.52,2.88,2.34,0.23,417,387,0.794,0.476,0.615
55 Cncf,45.768,4.91,0.39,1.9,3.06,0.78,310,280,0.536,0.703,0.614
446.02,6.935,1.7,1.41,2.4,2.02,0.16,441,411,0.83,0.449,0.61
504.01,6.935,1.7,1.41,2.4,2.02,0.23,441,411,0.83,0.449,0.61
1591.01,4.392,1.5,1.3,1.95,1.71,0.13,464,434,0.87,0.427,0.61
812.02,6.655,2.2,0.62,1.37,1.74,0.12,428,398,0.759,0.488,0.609
1175.01,0.709,0.9,0.97,0.87,0.89,0.2,523,493,0.977,0.377,0.607
881.02,26.353,3.9,0.44,1.73,2.6,0.69,238,208,0.596,0.616,0.606
331.01,1.416,1.1,1.06,1.17,1.13,0.13,524,494,0.97,0.375,0.603
486.01,3.414,1.4,1.24,1.74,1.56,0.15,484,454,0.892,0.405,0.601
718.03,4.392,1.5,1.3,1.95,1.71,0.26,473,443,0.87,0.413,0.6
902.01,65.615,5.7,0.35,2.02,3.39,0.32,300,270,0.499,0.717,0.598
1199.01,10.888,2.7,0.55,1.49,2.01,0.26,409,379,0.699,0.509,0.596
935.03,9.049,2.5,0.58,1.45,1.9,0.4,421,391,0.721,0.492,0.595
111.04,9.049,2.5,0.58,1.45,1.9,0.44,421,391,0.721,0.492,0.595
1564.01,15.176,3.1,0.51,1.58,2.21,0.28,390,360,0.659,0.538,0.595
717.01,0.709,0.9,0.97,0.87,0.89,0.11,540,510,0.977,0.356,0.589
1301.02,7.405,2.3,0.61,1.4,1.79,0.21,439,409,0.746,0.465,0.589
157.05,16.38,3.2,0.5,1.6,2.26,0.48,391,361,0.65,0.533,0.588
1372.01,6.655,2.2,0.62,1.37,1.74,0.34,446,416,0.759,0.456,0.588
1478.01,23.22,3.7,0.46,1.7,2.51,0.35,371,341,0.61,0.565,0.587
270.02,1,1,1,1,1,0.2,559,529,1,0.341,0.584
61 Vird,22.884,3.68,0.46,1.69,2.5,0.48,375,345,0.612,0.555,0.583
663.02,6.935,1.7,1.41,2.4,2.02,0.12,466,436,0.83,0.408,0.582
223.02,8.203,2.4,0.59,1.42,1.85,0.23,440,410,0.733,0.46,0.581
374.01,17.637,3.3,0.49,1.62,2.31,0.63,395,365,0.641,0.521,0.578
682.01,45.617,4.9,0.39,1.9,3.05,0.59,337,307,0.536,0.622,0.578
448.02,24.758,3.8,0.45,1.71,2.55,0.21,376,346,0.603,0.55,0.576
139.01,65.615,5.7,0.35,2.02,3.39,0.74,318,288,0.499,0.659,0.574
51.01,43.411,4.8,0.39,1.88,3.01,0.06,344,314,0.542,0.605,0.573
247.01,5.951,2.1,0.64,1.35,1.68,0.09,467,437,0.773,0.424,0.573
1439.01,29.719,4.1,0.43,1.77,2.69,2.23,225,195,0.582,0.56,0.571
260.02,6.655,2.2,0.62,1.37,1.74,0.43,464,434,0.759,0.426,0.568
1276.01,4.392,1.5,1.3,1.95,1.71,0.15,504,474,0.87,0.37,0.567
784.01,7.405,2.3,0.61,1.4,1.79,0.12,459,429,0.746,0.431,0.567
252.01,10.888,2.7,0.55,1.49,2.01,0.1,436,406,0.699,0.458,0.566
1360.01,10.888,2.7,0.55,1.49,2.01,0.21,438,408,0.699,0.455,0.563
1435.01,6.935,1.7,1.41,2.4,2.02,0.23,484,454,0.83,0.382,0.563
1302.01,8.203,2.4,0.59,1.42,1.85,0.29,457,427,0.733,0.431,0.562
560.01,8.544,1.8,1.46,2.64,2.18,0.15,475,445,0.812,0.388,0.561
898.03,9.049,2.5,0.58,1.45,1.9,0.12,454,424,0.721,0.433,0.559
1146.01,2.605,1.3,1.19,1.54,1.42,0.06,542,512,0.916,0.338,0.556
1281.01,12.55,2,1.57,3.14,2.51,0.27,461,431,0.778,0.395,0.554
757.02,17.637,3.3,0.49,1.62,2.31,0.22,417,387,0.641,0.477,0.553
775.01,5.951,2.1,0.64,1.35,1.68,0.1,488,458,0.773,0.393,0.551
842.02,15.176,3.1,0.51,1.58,2.21,0.2,429,399,0.659,0.46,0.551
148.03,12.55,2,1.57,3.14,2.51,0.23,465,435,0.778,0.389,0.55
814.01,8.544,1.8,1.46,2.64,2.18,0.15,486,456,0.812,0.373,0.55
584.02,4.392,1.5,1.3,1.95,1.71,0.15,522,492,0.87,0.347,0.55
314.01,10.408,1.9,1.52,2.88,2.34,0.09,476,446,0.794,0.38,0.549
291.01,4.392,1.5,1.3,1.95,1.71,0.2,525,495,0.87,0.344,0.547
1508.01,5.559,1.6,1.36,2.17,1.86,0.15,513,483,0.849,0.351,0.546
835.01,5.559,1.6,1.36,2.17,1.86,0.09,515,485,0.849,0.349,0.544
904.02,14.026,3,0.52,1.56,2.16,0.16,440,410,0.668,0.443,0.544
1192.01,29.719,4.1,0.43,1.77,2.69,0.49,392,362,0.582,0.508,0.544
1328.01,43.411,4.8,0.39,1.88,3.01,0.36,368,338,0.542,0.546,0.544
1422.02,12.928,2.9,0.53,1.54,2.11,0.12,446,416,0.678,0.436,0.543
865.01,74.226,6,0.34,2.06,3.52,0.47,336,306,0.487,0.602,0.541
1403.01,12.55,2,1.57,3.14,2.51,0.12,474,444,0.778,0.376,0.541
1527.01,45.617,4.9,0.39,1.9,3.05,0.67,367,337,0.536,0.546,0.541
528.02,18.949,3.4,0.48,1.64,2.36,0.42,426,396,0.633,0.458,0.539
1162.01,26.353,3.9,0.44,1.73,2.6,0.59,405,375,0.596,0.486,0.538
351.02,74.226,6,0.34,2.06,3.52,0.71,339,309,0.487,0.594,0.538
255.01,21.74,3.6,0.47,1.68,2.46,0.15,418,388,0.617,0.468,0.538
993.01,3.414,1.4,1.24,1.74,1.56,0.15,549,519,0.892,0.323,0.537
222.02,6.935,1.7,1.41,2.4,2.02,0.09,512,482,0.83,0.346,0.536
884.02,10.888,2.7,0.55,1.49,2.01,0.14,466,436,0.699,0.409,0.535
736.01,9.943,2.6,0.57,1.47,1.96,0.12,472,442,0.71,0.403,0.534
564.02,47.887,5,0.38,1.92,3.1,0.51,370,340,0.531,0.537,0.534
1486.01,171.467,8.5,0.28,2.37,4.49,0.8,286,256,0.41,0.696,0.534
1506.01,7.405,2.3,0.61,1.4,1.79,0.23,492,462,0.746,0.382,0.534
303.01,12.928,2.9,0.53,1.54,2.11,0.31,456,426,0.678,0.42,0.533
773.01,5.951,2.1,0.64,1.35,1.68,0.23,507,477,0.773,0.367,0.533
GJ 581e,1.7,1.16,1.1,1.27,1.21,0.03,591,561,0.954,0.297,0.532
463.01,20.317,3.5,0.47,1.66,2.41,0.11,428,398,0.625,0.452,0.532
373.01,20.317,3.5,0.47,1.66,2.41,0.53,430,400,0.625,0.449,0.53
HIP 57050b,94.714,6.64,0.32,2.15,3.78,0.16,250,220,0.464,0.602,0.528
245.01,5.951,2.1,0.64,1.35,1.68,0.21,512,482,0.773,0.361,0.528
920.01,10.408,1.9,1.52,2.88,2.34,0.15,499,469,0.794,0.35,0.527
113.01,161.928,8.3,0.28,2.35,4.42,0.89,299,269,0.415,0.67,0.527
351.01,171.467,8.5,0.28,2.37,4.49,0.97,296,266,0.41,0.676,0.526
1329.01,9.049,2.5,0.58,1.45,1.9,0.2,487,457,0.721,0.384,0.526
351.03,10.408,1.9,1.52,2.88,2.34,0.31,501,471,0.794,0.347,0.525
571.02,12.55,2,1.57,3.14,2.51,0.09,491,461,0.778,0.354,0.525
881.01,9.049,2.5,0.58,1.45,1.9,0.14,489,459,0.721,0.381,0.524
722.01,8.544,1.8,1.46,2.64,2.18,0.26,515,485,0.812,0.337,0.523
1279.01,1.416,1.1,1.06,1.17,1.13,0.12,614,584,0.97,0.28,0.521
227.01,12.928,2.9,0.53,1.54,2.11,0.11,470,440,0.678,0.398,0.52
1208.01,107.519,7,0.31,2.19,3.92,0.91,331,301,0.452,0.597,0.519
750.01,9.943,2.6,0.57,1.47,1.96,0.14,488,458,0.71,0.38,0.519
72.02,7.405,2.3,0.61,1.4,1.79,0.25,508,478,0.746,0.361,0.519
1574.01,68.417,5.8,0.35,2.03,3.44,0.47,361,331,0.495,0.543,0.518
1598.01,14.026,3,0.52,1.56,2.16,0.29,467,437,0.668,0.4,0.517
1408.01,8.544,1.8,1.46,2.64,2.18,0.1,522,492,0.812,0.328,0.516
1085.01,1.945,1.2,1.13,1.35,1.27,0.06,603,573,0.942,0.283,0.516
99.01,39.189,4.6,0.4,1.85,2.92,1.69,207,177,0.552,0.48,0.515
409.01,3.414,1.4,1.24,1.74,1.56,0.11,575,545,0.892,0.297,0.515
157.04,6.655,2.2,0.62,1.37,1.74,0.26,521,491,0.759,0.347,0.513
590.02,6.655,2.2,0.62,1.37,1.74,0.28,522,492,0.759,0.346,0.512
393.01,1.945,1.2,1.13,1.35,1.27,0.15,608,578,0.942,0.279,0.512
899.01,6.935,1.7,1.41,2.4,2.02,0.06,540,510,0.83,0.315,0.511
790.01,3.414,1.4,1.24,1.74,1.56,0.08,581,551,0.892,0.291,0.51
1480.01,9.049,2.5,0.58,1.45,1.9,0.14,505,475,0.721,0.36,0.509
701.01,6.655,2.2,0.62,1.37,1.74,0.13,526,496,0.759,0.341,0.509
1113.02,11.882,2.8,0.54,1.52,2.06,0.39,488,458,0.688,0.375,0.508
446.01,7.405,2.3,0.61,1.4,1.79,0.12,520,490,0.746,0.346,0.508
610.01,12.55,2,1.57,3.14,2.51,0.1,511,481,0.778,0.33,0.507
1535.01,8.203,2.4,0.59,1.42,1.85,0.35,515,485,0.733,0.35,0.506
